Designator,Mid X,Mid Y,Layer,Rotation
C1,24.400000,32.250000,Top,-90.000000
C2,24.400000,27.150000,Top,-90.000000
C3,28.845000,18.775000,Top,0.000000
C4,35.340000,18.775000,Top,0.000000
C5,40.340000,18.775000,Top,0.000000
C6,47.250000,20.480000,Top,180.000000
C7,49.300000,27.750000,Top,90.000000
C8,48.700000,41.000000,Top,180.000000
C9,39.840000,43.710000,Top,180.000000
C10,34.840000,43.710000,Top,180.000000
C11,27.607500,43.710000,Top,0.000000
C12,23.920000,37.500000,Top,0.000000
C13,49.300000,33.250000,Top,90.000000
C14,23.370000,23.290000,Top,90.000000
C15,24.400000,23.290000,Top,90.000000
C16,24.390000,25.220000,Top,-90.000000
C17,23.370000,25.220000,Top,-90.000000
C18,23.480000,18.720000,Top,0.000000
C19,50.700000,39.950000,Top,-90.000000
C20,45.580000,17.630000,Top,90.000000
C21,47.570000,65.080000,Top,180.000000
C22,13.820000,25.280000,Top,90.000000
C23,13.820000,32.230000,Top,-90.000000
C24,84.432500,28.325000,Top,-90.000000
C25,79.065000,40.715000,Top,0.000000
C26,87.600000,43.530000,Top,90.000000
D1,78.362500,58.010000,Top,0.000000
D2,54.800000,7.060000,Top,180.000000
D3,10.240000,15.020000,Top,90.000000
D4,67.237500,42.130000,Top,180.000000
D5,16.242500,54.780000,Top,0.000000
R1,21.940000,63.360000,Top,90.000000
R2,21.940000,65.900000,Top,-90.000000
R3,13.560000,62.340000,Top,-90.000000
R4,13.560000,65.900000,Top,-90.000000
R5,47.600000,63.690000,Top,180.000000
R6,33.020000,66.250000,Top,180.000000
R7,22.460000,28.500000,Top,0.000000
R8,63.630000,66.430000,Top,180.000000
R9,51.790000,67.700000,Top,0.000000
R10,63.630000,67.700000,Top,180.000000
R11,84.800000,43.500000,Top,-90.000000
R12,77.300000,54.600000,Top,90.000000
R13,86.200000,43.500000,Top,-90.000000
R14,73.200000,58.010000,Top,180.000000
R15,77.825000,50.530000,Top,180.000000
R16,77.825000,52.030000,Top,180.000000
R17,54.737500,3.160000,Top,180.000000
R18,5.080000,11.990000,Top,180.000000
R19,72.600000,42.130000,Top,0.000000
R20,16.305000,50.840000,Top,0.000000
U1,36.837500,31.250000,Top,90.000000
U2,84.432500,34.965000,Top,90.000000
Y1,18.080000,28.830000,Top,90.000000